      # Columns are: wavelength (microns), kappa ext (cm^2 g^-1),   kappa abs (cm^2 g^-1), kappa sca (cm^2 g^-1), albedo
 # Note that the opacities are per gram of gas
   8.7671E-02   7.6195E+00   3.1779E+00   4.4416E+00   5.8293E-01
   9.0314E-02   7.6421E+00   3.1738E+00   4.4683E+00   5.8470E-01
   9.0348E-02   7.6425E+00   3.1736E+00   4.4689E+00   5.8474E-01
   9.0364E-02   7.6427E+00   3.1735E+00   4.4692E+00   5.8477E-01
   9.0366E-02   7.6427E+00   3.1735E+00   4.4692E+00   5.8477E-01
   9.0398E-02   7.6430E+00   3.1733E+00   4.4698E+00   5.8481E-01
   9.0399E-02   7.6431E+00   3.1733E+00   4.4698E+00   5.8482E-01
   9.0414E-02   7.6432E+00   3.1732E+00   4.4700E+00   5.8484E-01
   9.0416E-02   7.6432E+00   3.1732E+00   4.4701E+00   5.8484E-01
   9.0448E-02   7.6436E+00   3.1730E+00   4.4706E+00   5.8489E-01
   9.0449E-02   7.6436E+00   3.1730E+00   4.4706E+00   5.8489E-01
   9.0466E-02   7.6438E+00   3.1729E+00   4.4709E+00   5.8491E-01
   9.0499E-02   7.6441E+00   3.1727E+00   4.4715E+00   5.8496E-01
   9.0603E-02   7.6453E+00   3.1720E+00   4.4733E+00   5.8510E-01
   9.3633E-02   7.6719E+00   3.1783E+00   4.4936E+00   5.8572E-01
   9.6764E-02   7.6916E+00   3.1975E+00   4.4941E+00   5.8429E-01
   9.7652E-02   7.6967E+00   3.2028E+00   4.4939E+00   5.8387E-01
   9.7702E-02   7.6970E+00   3.2031E+00   4.4938E+00   5.8384E-01
   9.7752E-02   7.6973E+00   3.2035E+00   4.4938E+00   5.8382E-01
   1.0000E-01   7.7092E+00   3.2172E+00   4.4919E+00   5.8267E-01
   1.0334E-01   7.7235E+00   3.2434E+00   4.4801E+00   5.8006E-01
   1.0358E-01   7.7242E+00   3.2461E+00   4.4781E+00   5.7975E-01
   1.0363E-01   7.7244E+00   3.2466E+00   4.4778E+00   5.7969E-01
   1.0365E-01   7.7244E+00   3.2468E+00   4.4776E+00   5.7967E-01
   1.0368E-01   7.7245E+00   3.2472E+00   4.4774E+00   5.7963E-01
   1.0370E-01   7.7246E+00   3.2474E+00   4.4772E+00   5.7961E-01
   1.0375E-01   7.7247E+00   3.2479E+00   4.4768E+00   5.7954E-01
   1.0680E-01   7.7334E+00   3.2794E+00   4.4540E+00   5.7594E-01
   1.1037E-01   7.7441E+00   3.3107E+00   4.4334E+00   5.7249E-01
   1.1406E-01   7.7562E+00   3.3375E+00   4.4187E+00   5.6970E-01
   1.1788E-01   7.7693E+00   3.3616E+00   4.4077E+00   5.6732E-01
   1.2152E-01   7.7822E+00   3.3819E+00   4.4003E+00   5.6543E-01
   1.2157E-01   7.7824E+00   3.3822E+00   4.4002E+00   5.6541E-01
   1.2162E-01   7.7826E+00   3.3824E+00   4.4002E+00   5.6539E-01
   1.2182E-01   7.7833E+00   3.3835E+00   4.3999E+00   5.6529E-01
   1.2589E-01   7.7981E+00   3.4033E+00   4.3948E+00   5.6357E-01
   1.3010E-01   7.8136E+00   3.4213E+00   4.3923E+00   5.6213E-01
   1.3341E-01   7.8259E+00   3.4336E+00   4.3922E+00   5.6125E-01
   1.3341E-01   7.8259E+00   3.4336E+00   4.3922E+00   5.6125E-01
   1.3346E-01   7.8260E+00   3.4338E+00   4.3923E+00   5.6124E-01
   1.3346E-01   7.8261E+00   3.4338E+00   4.3923E+00   5.6123E-01
   1.3351E-01   7.8262E+00   3.4340E+00   4.3923E+00   5.6122E-01
   1.3351E-01   7.8262E+00   3.4340E+00   4.3923E+00   5.6122E-01
   1.3352E-01   7.8263E+00   3.4340E+00   4.3923E+00   5.6122E-01
   1.3352E-01   7.8263E+00   3.4340E+00   4.3923E+00   5.6122E-01
   1.3357E-01   7.8265E+00   3.4342E+00   4.3923E+00   5.6121E-01
   1.3357E-01   7.8265E+00   3.4342E+00   4.3923E+00   5.6121E-01
   1.3362E-01   7.8267E+00   3.4343E+00   4.3923E+00   5.6120E-01
   1.3362E-01   7.8267E+00   3.4343E+00   4.3923E+00   5.6120E-01
   1.3445E-01   7.8298E+00   3.4371E+00   4.3927E+00   5.6103E-01
   1.3895E-01   7.8466E+00   3.4497E+00   4.3969E+00   5.6036E-01
   1.4360E-01   7.8637E+00   3.4570E+00   4.4067E+00   5.6038E-01
   1.4774E-01   7.8778E+00   3.4716E+00   4.4062E+00   5.5932E-01
   1.4779E-01   7.8780E+00   3.4718E+00   4.4061E+00   5.5930E-01
   1.4779E-01   7.8780E+00   3.4718E+00   4.4061E+00   5.5930E-01
   1.4784E-01   7.8781E+00   3.4720E+00   4.4061E+00   5.5928E-01
   1.4784E-01   7.8781E+00   3.4721E+00   4.4061E+00   5.5928E-01
   1.4784E-01   7.8781E+00   3.4721E+00   4.4061E+00   5.5928E-01
   1.4786E-01   7.8782E+00   3.4721E+00   4.4060E+00   5.5927E-01
   1.4788E-01   7.8783E+00   3.4723E+00   4.4060E+00   5.5926E-01
   1.4789E-01   7.8783E+00   3.4723E+00   4.4060E+00   5.5926E-01
   1.4789E-01   7.8783E+00   3.4723E+00   4.4060E+00   5.5926E-01
   1.4791E-01   7.8783E+00   3.4724E+00   4.4060E+00   5.5925E-01
   1.4793E-01   7.8784E+00   3.4725E+00   4.4059E+00   5.5924E-01
   1.4794E-01   7.8784E+00   3.4725E+00   4.4059E+00   5.5924E-01
   1.4795E-01   7.8785E+00   3.4725E+00   4.4059E+00   5.5924E-01
   1.4796E-01   7.8785E+00   3.4726E+00   4.4059E+00   5.5923E-01
   1.4798E-01   7.8786E+00   3.4727E+00   4.4059E+00   5.5922E-01
   1.4800E-01   7.8786E+00   3.4728E+00   4.4059E+00   5.5922E-01
   1.4805E-01   7.8788E+00   3.4730E+00   4.4058E+00   5.5920E-01
   1.4840E-01   7.8800E+00   3.4746E+00   4.4054E+00   5.5906E-01
   1.5336E-01   7.8982E+00   3.5085E+00   4.3897E+00   5.5578E-01
   1.5477E-01   7.9039E+00   3.5175E+00   4.3864E+00   5.5497E-01
   1.5482E-01   7.9041E+00   3.5178E+00   4.3863E+00   5.5494E-01
   1.5487E-01   7.9043E+00   3.5181E+00   4.3862E+00   5.5491E-01
   1.5503E-01   7.9050E+00   3.5192E+00   4.3858E+00   5.5481E-01
   1.5508E-01   7.9052E+00   3.5196E+00   4.3856E+00   5.5477E-01
   1.5513E-01   7.9054E+00   3.5200E+00   4.3854E+00   5.5473E-01
   1.5849E-01   7.9187E+00   3.5461E+00   4.3726E+00   5.5219E-01
   1.6379E-01   7.9356E+00   3.5816E+00   4.3541E+00   5.4867E-01
   1.6572E-01   7.9393E+00   3.5908E+00   4.3485E+00   5.4772E-01
   1.6577E-01   7.9394E+00   3.5910E+00   4.3483E+00   5.4769E-01
   1.6582E-01   7.9394E+00   3.5913E+00   4.3482E+00   5.4767E-01
   1.6603E-01   7.9397E+00   3.5922E+00   4.3475E+00   5.4756E-01
